filename, language, JSON, Shell Script, Markdown, YAML, SQL, JavaScript, HTML, JavaScript React, CSS, XML, comment, blank, total
doc/design.md, Markdown, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 78, 205
doc/modules/ScGranSynth/README.md, Markdown, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
doc/modules/ScReverb/README.md, Markdown, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
doc/modules/ScSamplePlayer/README.md, Markdown, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
doc/modules/pitch/README.md, Markdown, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
launch.sh, Shell Script, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
setup.sh, Shell Script, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 107
src/README.md, Markdown, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 36, 199
src/backend/db.js, JavaScript, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 5, 51
src/backend/oscHelper.js, JavaScript, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 4, 21
src/backend/package-lock.json, JSON, 5862, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5863
src/backend/package.json, JSON, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 59
src/backend/routes/auth.js, JavaScript, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 1, 142
src/backend/routes/osc.js, JavaScript, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 21, 9, 302
src/backend/routes/performances.js, JavaScript, 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 7, 11, 181
src/backend/routes/presets.js, JavaScript, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 9, 137
src/backend/routes/projects.js, JavaScript, 0, 0, 0, 0, 0, 479, 0, 0, 0, 0, 4, 20, 503
src/backend/routes/sounds.js, JavaScript, 0, 0, 0, 0, 0, 511, 0, 0, 0, 0, 1, 34, 546
src/backend/server.js, JavaScript, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 3, 13, 96
src/backend/utils.js, JavaScript, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
src/database/create-soundcool-db.sql, SQL, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 36, 24, 161
src/frontend/package-lock.json, JSON, 18045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18046
src/frontend/package.json, JSON, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
src/frontend/public/assets/fontawesome/css/all.min.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 4419, 0, 4, 1, 4424
src/frontend/public/assets/fontawesome/webfonts/fa-brands-400.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3445, 4, 1, 3450
src/frontend/public/assets/fontawesome/webfonts/fa-regular-400.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 799, 4, 1, 804
src/frontend/public/assets/fontawesome/webfonts/fa-solid-900.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4645, 4, 1, 4650
src/frontend/public/assets/images/soundcool-icono-lineas-5.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
src/frontend/public/index.html, HTML, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 2, 20
src/frontend/src/App.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 3, 32, 222
src/frontend/src/App.js, JavaScript, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 1, 9, 71
src/frontend/src/actions/common.js, JavaScript, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 1, 16, 133
src/frontend/src/actions/validation.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
src/frontend/src/api.js, JavaScript, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 1, 14, 141
src/frontend/src/audio/README.md, Markdown, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 24, 78
src/frontend/src/audio/actions.js, JavaScript, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
src/frontend/src/audio/sc-analyzer.js, JavaScript, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 1, 3, 57
src/frontend/src/audio/sc-context.js, JavaScript, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
src/frontend/src/audio/sc-crossfade-piecewise.js, JavaScript, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 12, 8, 88
src/frontend/src/audio/sc-crossfade.js, JavaScript, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 7, 68
src/frontend/src/audio/sc-delay.js, JavaScript, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 10, 48
src/frontend/src/audio/sc-directin.js, JavaScript, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 12, 94
src/frontend/src/audio/sc-envelope.js, JavaScript, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 9, 68
